puzzle_id,sub_puzzle_id,image_path,origin_question,true_answer,sub_question,answer,level,sub_question_id,subquestion_image_path
37,1,37/img/puzzle_37_e_1.png,"A man wants to get from room A to room B in his house, where each room is connected to any neighboring room by a door. The least number of doors that he needs to go through is: A: 5,B: 3,C: 4,D: 2,E: 1",E,nan,NO_FINAL_ANSWER,nan,37-1-1,nan
37,2,37/img/puzzle_37_e_2.png,"In a man's house, each room is connected to any neighboring room by a door. The man wants to get from room A to room B. What is the minimum number of doors that he needs to go through? A: 1,B: 3,C: 5,D: 6,E: 4",B,nan,NO_FINAL_ANSWER,nan,37-2-1,nan
37,3,37/img/puzzle_37_e_3.png,"Each room in a man's house is connected to any neighboring room by a door. Th man wants to get from room A to room B. The least number of doors that he needs to go through is: A: 3,B: 6,C: 4,D: 2,E: 1",A,nan,NO_FINAL_ANSWER,nan,37-3-1,nan
37,4,37/img/puzzle_37_e_4.png,"In a man's house, each room is connected to any neighboring room by a door. The man wants to get from room A to room B. The least number of doors that he needs to go through is: A: 1,B: 4,C: 7,D: 3,E: 5",D,nan,NO_FINAL_ANSWER,nan,37-4-1,nan
37,5,37/img/puzzle_37_e_5.png,"In a man's house, each room is connected to any neighboring room by a door. The man wants to get from room A to room B. The least number of doors that he needs to go through is: A: 5,B: 4,C: 7,D: 1,E: 3",E,nan,NO_FINAL_ANSWER,nan,37-5-1,nan
37,6,37/img/puzzle_37_e_6.png,"Each room in a man's house is connected to any neighboring room by a door. Th man wants to get from room A to room B. The least number of doors that he needs to go through is: A: 3,B: 6,C: 2,D: 4,E: 5",C,nan,NO_FINAL_ANSWER,nan,37-6-1,nan
37,7,37/img/puzzle_37_e_7.png,"A man wants to get from room A to room B in his house, where each room is connected to any neighboring room by a door. The least number of doors that he needs to go through is: A: 7,B: 1,C: 2,D: 3,E: 6",D,nan,NO_FINAL_ANSWER,nan,37-7-1,nan
37,8,37/img/puzzle_37_e_8.png,"A man wants to get from room A to room B in his house, where each room is connected to any neighboring room by a door. The least number of doors that he needs to go through is: A: 6,B: 2,C: 3,D: 4,E: 5",B,nan,NO_FINAL_ANSWER,nan,37-8-1,nan
37,9,37/img/puzzle_37_e_9.png,"Each room in a man's house is connected to any neighboring room by a door. The man wants to get from room A to room B. What is the minimum number of doors that he needs to go through? A: 2,B: 6,C: 4,D: 1,E: 5",A,nan,NO_FINAL_ANSWER,nan,37-9-1,nan
37,10,37/img/puzzle_37_e_10.png,"A man wants to get from room A to room B in his house. Each room is connected to any neighboring room by a door. What is the least number of doors that he needs to go through? A: 3,B: 6,C: 5,D: 1,E: 2",E,nan,NO_FINAL_ANSWER,nan,37-10-1,nan
37,11,37/img/puzzle_37_e_11.png,"A man wants to get from room A to room B in his house. Each room is connected to any neighboring room by a door. The least number of doors that he needs to go through is: A: 6,B: 3,C: 2,D: 7,E: 5",B,nan,NO_FINAL_ANSWER,nan,37-11-1,nan
37,12,37/img/puzzle_37_e_12.png,"A man wants to get from room A to room B in his house. Each room is connected to any neighboring room by a door. The minimum number of doors that he needs to go through is: A: 4,B: 5,C: 3,D: 2,E: 1",E,nan,NO_FINAL_ANSWER,nan,37-12-1,nan
37,13,37/img/puzzle_37_e_13.png,"In a man's house, each room is connected to any neighboring room by a door. The man wants to get from room A to room B. The least number of doors that he needs to go through is: A: 4,B: 1,C: 2,D: 6,E: 5",C,nan,NO_FINAL_ANSWER,nan,37-13-1,nan
37,14,37/img/puzzle_37_e_14.png,"In a man's house, each room is connected to any neighboring room by a door. The man wants to get from room A to room B. The least number of doors that he needs to go through is: A: 7,B: 1,C: 3,D: 6,E: 5",C,nan,NO_FINAL_ANSWER,nan,37-14-1,nan
